path , default , custom, defult_w_count, custom_w_count , defult_w_count_percentage , custom_w_count_percentage , default_wer , default_wacc , custom_wer, custom_wacc
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P1L1_ Course Overview\1 - Introduction.srt.res ,0.251794589,0.062198391,5,12,3.067484663,7.36196319,12.17,87.83,13.7,86.3
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P1L1_ Course Overview\2 - Why Should I Take this Course.srt.res ,0.051724138,0.012392755,9,2,4.109589041,0.913242009,12.87,87.13,9.52,90.48
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P1L1_ Course Overview\3 - Course Overview.srt.res ,0.120158103,0.102106969,0,0,0,0,9.81,90.19,7.94,92.06
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P1L1_ Course Overview\4 - Theory and Practice.srt.res ,0.090909091,0.051141553,0,2,0,0.980392157,5.7,94.3,11.32,88.68
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P1L1_ Course Overview\5 - Course Materials.srt.res ,0.011985019,0.039567233,0,17,0,4.775280899,10.26,89.74,7.18,92.82
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P1L1_ Course Overview\6 - Course Policies.srt.res ,0.008797654,0.053631285,0,28,0,9.120521173,11.54,88.46,9.32,90.68
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P1L1_ Course Overview\7 - Visual Metaphor.srt.res ,0.011486001,0.082573727,1,9,0.574712644,5.172413793,9.78,90.22,12.1,87.9
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P1L1_ Course Overview\8 - Your Learning Expecations.srt.res ,0.022695035,0.069216758,1,16,2.083333333,33.33333333,74.49,25.51,21.09,78.91
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P1L2_ Introduction to Operating Systems\01 - Lesson Preview.srt.res ,0.138317757,0.011180992,4,0,2.580645161,0,16.5,83.5,10.9,89.1
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P1L2_ Introduction to Operating Systems\02 - Visual Metaphor.srt.res ,0.005816772,0.00290346,1,2,0.194174757,0.388349515,3.28,96.72,3.91,96.09
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P1L2_ Introduction to Operating Systems\03 - What is an Operating System.srt.res ,0.014206437,0.085502565,0,34,0,4.829545455,2.26,97.74,3.82,96.18
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P1L2_ Introduction to Operating Systems\04 - Operating System Definition.srt.res ,0.022244692,0.133567663,0,46,0,49.46236559,9.62,90.38,12.2,87.8
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P1L2_ Introduction to Operating Systems\05 - Operating System Components Quiz.srt.res ,0.032928943,0.297587131,0,45,0,68.18181818,34.01,65.99,16.75,83.25
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P1L2_ Introduction to Operating Systems\06 - Operating System Components Quiz.srt.res ,0.011369019,0.212806933,2,25,1.015228426,12.69035533,8.21,91.79,6.84,93.16
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P1L2_ Introduction to Operating Systems\07 - Abstraction or Arbitration Quiz.srt.res ,0.291390728,0.037914692,1,10,1.351351351,13.51351351,29.11,70.89,17.14,82.86
S:\Technion\SemesterE\ReadYourLife - project\ReadYourLife\code\resources\data\P1L2_ Introduction to Operating Systems\08 - Abstraction or Arbitration Quiz.srt.res ,0.005148005,0.042637581,1,54,0.564971751,30.50847458,7.7,92.3,10.1,89.9
